10msmd.control_plane_receive_log:		Hello Packets: 84	Neighbor Packets: 42
10msmd.control_plane_receive_packet_N1.log:		Hello Packets: 302	Neighbor Packets: 0
10msmd.control_plane_receive_packet_N10.log:		Hello Packets: 108	Neighbor Packets: 973
10msmd.control_plane_receive_packet_N2.log:		Hello Packets: 314	Neighbor Packets: 1
10msmd.control_plane_receive_packet_N3.log:		Hello Packets: 298	Neighbor Packets: 13
10msmd.control_plane_receive_packet_N4.log:		Hello Packets: 262	Neighbor Packets: 4
10msmd.control_plane_receive_packet_N5.log:		Hello Packets: 304	Neighbor Packets: 0
10msmd.control_plane_receive_packet_N6.log:		Hello Packets: 326	Neighbor Packets: 2
10msmd.control_plane_receive_packet_N7.log:		Hello Packets: 262	Neighbor Packets: 2
10msmd.control_plane_receive_packet_N8.log:		Hello Packets: 293	Neighbor Packets: 7
10msmd.control_plane_receive_packet_N9.log:		Hello Packets: 238	Neighbor Packets: 6
10msmd.control_plane_send_log:		Hello Packets: 85	Neighbor Packets: 49
10msmd.control_plane_send_packet_N1.log:		Hello Packets: 49	Neighbor Packets: 0
10msmd.control_plane_send_packet_N10.log:		Hello Packets: 0	Neighbor Packets: 108
10msmd.control_plane_send_packet_N2.log:		Hello Packets: 54	Neighbor Packets: 54
10msmd.control_plane_send_packet_N3.log:		Hello Packets: 78	Neighbor Packets: 371
10msmd.control_plane_send_packet_N4.log:		Hello Packets: 66	Neighbor Packets: 260
10msmd.control_plane_send_packet_N5.log:		Hello Packets: 52	Neighbor Packets: 41
10msmd.control_plane_send_packet_N6.log:		Hello Packets: 53	Neighbor Packets: 59
10msmd.control_plane_send_packet_N7.log:		Hello Packets: 78	Neighbor Packets: 348
10msmd.control_plane_send_packet_N8.log:		Hello Packets: 75	Neighbor Packets: 351
10msmd.control_plane_send_packet_N9.log:		Hello Packets: 65	Neighbor Packets: 260
