12nodes.control_plane_receive_log:		Hello Packets: 330	Neighbor Packets: 170
12nodes.control_plane_receive_packet_N1.log:		Hello Packets: 27	Neighbor Packets: 7
12nodes.control_plane_receive_packet_N10.log:		Hello Packets: 11	Neighbor Packets: 2
12nodes.control_plane_receive_packet_N11.log:		Hello Packets: 22	Neighbor Packets: 0
12nodes.control_plane_receive_packet_N12.log:		Hello Packets: 69	Neighbor Packets: 152
12nodes.control_plane_receive_packet_N2.log:		Hello Packets: 26	Neighbor Packets: 3
12nodes.control_plane_receive_packet_N3.log:		Hello Packets: 21	Neighbor Packets: 0
12nodes.control_plane_receive_packet_N4.log:		Hello Packets: 20	Neighbor Packets: 0
12nodes.control_plane_receive_packet_N5.log:		Hello Packets: 21	Neighbor Packets: 0
12nodes.control_plane_receive_packet_N6.log:		Hello Packets: 27	Neighbor Packets: 0
12nodes.control_plane_receive_packet_N7.log:		Hello Packets: 21	Neighbor Packets: 3
12nodes.control_plane_receive_packet_N8.log:		Hello Packets: 18	Neighbor Packets: 3
12nodes.control_plane_receive_packet_N9.log:		Hello Packets: 43	Neighbor Packets: 0
12nodes.control_plane_send_log:		Hello Packets: 185	Neighbor Packets: 412
12nodes.control_plane_send_packet_N1.log:		Hello Packets: 14	Neighbor Packets: 27
12nodes.control_plane_send_packet_N10.log:		Hello Packets: 15	Neighbor Packets: 30
12nodes.control_plane_send_packet_N11.log:		Hello Packets: 14	Neighbor Packets: 17
12nodes.control_plane_send_packet_N12.log:		Hello Packets: 12	Neighbor Packets: 32
12nodes.control_plane_send_packet_N2.log:		Hello Packets: 16	Neighbor Packets: 32
12nodes.control_plane_send_packet_N3.log:		Hello Packets: 13	Neighbor Packets: 15
12nodes.control_plane_send_packet_N4.log:		Hello Packets: 14	Neighbor Packets: 20
12nodes.control_plane_send_packet_N5.log:		Hello Packets: 18	Neighbor Packets: 55
12nodes.control_plane_send_packet_N6.log:		Hello Packets: 17	Neighbor Packets: 55
12nodes.control_plane_send_packet_N7.log:		Hello Packets: 16	Neighbor Packets: 55
12nodes.control_plane_send_packet_N8.log:		Hello Packets: 18	Neighbor Packets: 54
12nodes.control_plane_send_packet_N9.log:		Hello Packets: 13	Neighbor Packets: 20
